1,Thu Aug 19 21:54:38 2021,125094,car,2	4856	PC7C042B7,u Aug 19 21:54:38 20
2,Sat Jul 31 04:09:44 2021,174434,car,2	4154	PC2C2EF9E,t Jul 31 04:09:44 20
3,Sat Aug 14 17:19:04 2021,8538286,car,2	4070	PCEECA8B2,t Aug 14 17:19:04 20
4,Mon Aug  2 18:23:45 2021,5521221,car,2	4095	PC3E1512A,n Aug  2 18:23:45 20
5,Thu Jul 29 22:44:20 2021,3267767,car,2	4135	PCC943ECD,u Jul 29 22:44:20 20
6,Sat Aug 14 03:57:47 2021,8411850,car,2	4680	PCC422F4D,t Aug 14 03:57:47 20
7,Thu Aug 12 03:41:22 2021,6064250,car,2	4702	PCDBC3AC9,u Aug 12 03:41:22 20
8,Sun Aug 22 10:29:58 2021,6871937,van,2	4592	PC627AA14,n Aug 22 10:29:58 20
9,Fri Aug  6 14:23:08 2021,2055930,car,2	4100	PCC6DD8D5,i Aug  6 14:23:08 20
10,Sun Aug 15 13:43:51 2021,8775910,car,2	4143	PC5F47DCF,n Aug 15 13:43:51 20
11,Wed Aug  4 15:52:13 2021,4525747,car,2	4466	PC6E93A05,d Aug  4 15:52:13 20
12,Wed Aug 18 02:22:15 2021,5276143,van,2	4352	PC99B9343,d Aug 18 02:22:15 20
13,Thu Aug 19 16:01:02 2021,5405144,van,2	4574	PCC1F6F13,u Aug 19 16:01:02 20
14,Tue Aug  3 14:55:00 2021,9309466,car,2	4902	PC425C6EC,e Aug  3 14:55:00 20
15,Thu Aug  5 04:00:30 2021,6494070,van,2	4012	PCEF5C190,u Aug  5 04:00:30 20
16,Sun Aug  8 13:08:17 2021,4880588,car,2	4458	PCECEBBFA,n Aug  8 13:08:17 20
17,Wed Aug  4 04:56:15 2021,6964507,car,2	4886	PC4D892D7,d Aug  4 04:56:15 20
18,Sun Aug 15 11:22:44 2021,5740782,truck,4	4680	PCC422F4D,n Aug 15 11:22:44 20
19,Fri Jul 30 11:20:47 2021,1060261,van,2	4899	PC4967767,i Jul 30 11:20:47 20
20,Sun Aug  8 21:22:56 2021,6599783,car,2	4855	PC03C5C15,n Aug  8 21:22:56 20
21,Wed Aug 11 10:33:15 2021,4573378,car,2	4737	PCED7EAFE,d Aug 11 10:33:15 20
22,Fri Aug  6 02:02:33 2021,1362666,car,2	4140	PC5D4821F,i Aug  6 02:02:33 20
23,Mon Aug  9 05:07:58 2021,9227112,car,2	4961	PC92C5115,n Aug  9 05:07:58 20
24,Fri Aug 13 18:21:04 2021,1245885,car,2	4148	PCDFBBEBB,i Aug 13 18:21:04 20
25,Thu Aug 12 01:36:28 2021,6702238,car,2	4630	PCA26D872,u Aug 12 01:36:28 20
26,Wed Aug 11 04:05:21 2021,7598066,car,2	5003	PCAC9371E,d Aug 11 04:05:21 20
27,Sun Aug  8 19:09:41 2021,2959560,car,2	4243	PCC4F7DCE,n Aug  8 19:09:41 20
28,Sun Aug  1 02:04:42 2021,9223690,car,2	4023	PC77793DF,n Aug  1 02:04:42 20
29,Sun Aug 15 11:11:42 2021,495967,car,2	4987	PCF4A9637,n Aug 15 11:11:42 20
30,Sat Aug 14 03:39:26 2021,1920115,car,2	4755	PC628DCED,t Aug 14 03:39:26 20
31,Wed Aug 18 23:33:41 2021,9940618,truck,4	4079	PCF1366ED,d Aug 18 23:33:41 20
32,Fri Aug  6 10:18:54 2021,733942,car,2	4616	PCE6675F9,i Aug  6 10:18:54 20
33,Thu Aug 19 15:58:25 2021,3232373,truck,4	4245	PC6594AD4,u Aug 19 15:58:25 20
34,Thu Aug 19 07:23:18 2021,2164250,truck,4	4090	PC1EE951B,u Aug 19 07:23:18 20
35,Sun Aug  1 09:10:05 2021,3714822,truck,4	4383	PC4BFE950,n Aug  1 09:10:05 20
36,Sat Aug  7 13:11:54 2021,9870882,van,2	4449	PCAACD453,t Aug  7 13:11:54 20
37,Tue Aug 10 01:27:00 2021,834998,car,2	4351	PC4E572D8,e Aug 10 01:27:00 20
38,Tue Aug 10 14:31:35 2021,6715866,car,2	4159	PC5631507,e Aug 10 14:31:35 20
39,Sun Aug  8 09:43:26 2021,9723146,car,2	4018	PCCB2657A,n Aug  8 09:43:26 20
40,Mon Aug  2 16:18:51 2021,2871310,car,2	4827	PC7D68CD9,n Aug  2 16:18:51 20
41,Sat Aug 14 13:13:47 2021,7657312,van,2	4115	PCF5D4B0A,t Aug 14 13:13:47 20
42,Tue Aug  3 03:53:05 2021,9802000,car,2	4102	PC8C9B099,e Aug  3 03:53:05 20
43,Mon Aug 16 00:36:00 2021,6514220,car,2	4398	PCE60D320,n Aug 16 00:36:00 20
44,Fri Aug 20 02:10:55 2021,3803763,car,2	4918	PC8F8E598,i Aug 20 02:10:55 20
45,Sat Aug 14 06:32:07 2021,2223161,car,2	4984	PCBABF130,t Aug 14 06:32:07 20
46,Fri Jul 30 02:19:56 2021,1228573,truck,4	4460	PCDF04952,i Jul 30 02:19:56 20
47,Wed Aug  4 14:30:03 2021,4872795,car,2	4326	PC356AE8F,d Aug  4 14:30:03 20
48,Sat Aug 14 04:04:45 2021,2074513,van,2	4600	PCB99E8F9,t Aug 14 04:04:45 20
49,Thu Aug 12 04:58:14 2021,7368256,car,2	4735	PC2294422,u Aug 12 04:58:14 20
50,Wed Aug 11 10:50:27 2021,2168309,car,2	4162	PC51A39A7,d Aug 11 10:50:27 20
51,Sun Aug  8 08:37:17 2021,5131457,car,2	4012	PCEF5C190,n Aug  8 08:37:17 20
52,Mon Aug  9 23:48:43 2021,2398430,car,2	4223	PCA37D114,n Aug  9 23:48:43 20
53,Wed Aug 18 17:50:45 2021,6065595,van,2	4990	PCFE28E92,d Aug 18 17:50:45 20
54,Mon Aug  2 16:59:38 2021,9885768,car,2	4154	PC2C2EF9E,n Aug  2 16:59:38 20
55,Thu Aug 19 04:54:56 2021,4327783,car,2	4913	PC685427C,u Aug 19 04:54:56 20
56,Tue Aug 17 18:11:45 2021,3904834,truck,4	4388	PC803F0F2,e Aug 17 18:11:45 20
57,Mon Aug  2 19:48:50 2021,1358382,car,2	4299	PCAD3B9BC,n Aug  2 19:48:50 20
58,Tue Aug 17 16:46:31 2021,3579992,car,2	4725	PCB905D54,e Aug 17 16:46:31 20
59,Wed Aug 11 22:21:30 2021,8130760,car,2	4229	PCD0DDD3D,d Aug 11 22:21:30 20
60,Fri Jul 30 09:54:24 2021,6546218,car,2	4354	PC0671DD4,i Jul 30 09:54:24 20
61,Sat Aug  7 16:42:24 2021,3673515,car,2	4127	PCA2D76A5,t Aug  7 16:42:24 20
62,Wed Aug  4 20:43:54 2021,9888875,truck,4	4522	PC0A326BE,d Aug  4 20:43:54 20
63,Sat Aug  7 20:44:08 2021,8136080,truck,4	4410	PC6EFC03B,t Aug  7 20:44:08 20
64,Thu Aug 12 19:23:36 2021,2078447,van,2	4689	PC89C35AD,u Aug 12 19:23:36 20
65,Sat Aug  7 16:41:49 2021,8090807,car,2	4296	PCA24C1E1,t Aug  7 16:41:49 20
66,Sun Aug  1 07:32:04 2021,4309692,car,2	4303	PC2E2E0C0,n Aug  1 07:32:04 20
67,Wed Aug 11 14:24:25 2021,3752767,car,2	4346	PCA35B156,d Aug 11 14:24:25 20
